Graeme Morrice,Livingston,Lab,aye
Grahame Morris,Easington,Lab,aye
George Mudie,Leeds East,Lab,aye
Meg Munn,"Sheffield, Heeley",Lab,aye
Jim Murphy,East Renfrewshire,Lab,aye
Chi Onwurah,Newcastle upon Tyne Central,Lab,aye
Teresa Pearce,Erith and Thamesmead,Lab,aye
Toby Perkins,Chesterfield,Lab,aye
Bridget Phillipson,Houghton and Sunderland South,Lab,aye
Stephen Pound,Ealing North,Lab,aye
Nick Raynsford,Greenwich and Woolwich,Lab,aye
Jamie Reed,Copeland,Lab,aye
John Robertson,Glasgow North West,Lab,aye
Steve Rotheram,"Liverpool, Walton",Lab,aye
Joan Ruddock,"Lewisham, Deptford",Lab,aye
Alison Seabeck,"Plymouth, Moor View",Lab,aye
Gavin Shuker,Luton South,Lab,aye
Dennis Skinner,Bolsover,Lab,aye
Andy Slaughter,Hammersmith,Lab,aye
Andrew Smith,Oxford East,Lab,aye
Angela Smith,Penistone and Stocksbridge,Lab,aye
John Spellar,Warley,Lab,aye
Gisela Stuart,"Birmingham, Edgbaston",Lab,aye
Mark Tami,Alyn and Deeside,Lab,aye
Gareth Thomas,Harrow West,Lab,aye
Emily Thornberry,Islington South and Finsbury,Lab,aye
Stephen Timms,East Ham,Lab,aye
Karl Turner,Kingston upon Hull East,Lab,aye
Derek Twigg,Halton,Lab,aye
Chuka Umunna,Streatham,Lab,aye
Valerie Vaz,Walsall South,Lab,aye
Joan Walley,Stoke-on-Trent North,Lab,aye
Dave Watts,St Helens North,Lab,aye
Alan Whitehead,"Southampton, Test",Lab,aye
Chris Williamson,Derby North,Lab,aye
David Winnick,Walsall North,Lab,aye
Rosie Winterton,Doncaster Central,Lab,aye
David Wright,Telford,Lab,aye
Iain Wright,Hartlepool,Lab,aye
Annette Brooke,Mid Dorset and North Poole,LDem,aye
John Hemming,"Birmingham, Yardley",LDem,aye
Martin Horwood,Cheltenham,LDem,aye
Stephen Lloyd,Eastbourne,LDem,aye
John Pugh,Southport,LDem,aye
Bob Russell,Colchester,LDem,aye
Adrian Sanders,Torbay,LDem,aye
Stephen Williams,Bristol West,LDem,aye
Dan Rogerson,North Cornwall,LDem,no
Roger Williams,Brecon and Radnorshire,LDem,no
Andrew George,St Ives,LDem,both
