David Cairns,Greenock and Inverclyde,Lab,no
Alan Campbell,Tynemouth,Lab,no
Anne Campbell,Cambridge,Lab,no
Ronnie Campbell,Blyth Valley,Lab,no
Ivor Caplin,Hove,Lab,no
Roger Casale,Wimbledon,Lab,no
Martin Caton,Gower,Lab,no
Ian Cawsey,Brigg and Goole,Lab,no
Colin Challen,Morley and Rothwell,Lab,no
Ben Chapman,Wirral South,Lab,no
Michael Clapham,Barnsley West and Penistone,Lab,no
Helen Clark,Peterborough,Lab,no
Paul Clark,Gillingham,Lab,no
Tony Clarke,Northampton South,Lab,no
Ann Clwyd,Cynon Valley,Lab,no
Vernon Coaker,Gedling,Lab,no
Ann Coffey,Stockport,Lab,no
Harry Cohen,Leyton and Wanstead,Lab,no
Iain Coleman,Hammersmith and Fulham,Lab,no
Frank Cook,Stockton North,Lab,no
Robin Cook,Livingston,Lab,no
Yvette Cooper,Pontefract and Castleford,Lab,no
Jean Corston,Bristol East,Lab,no
Tom Cox,Tooting,Lab,no
Jon Cruddas,Dagenham,Lab,no
Ann Cryer,Keighley,Lab,no
John Cryer,Hornchurch,Lab,no
Jack Cunningham,Copeland,Lab,no
Jim Cunningham,Coventry South,Lab,no
Tam Dalyell,Linlithgow,Lab,no
Alistair Darling,Edinburgh Central,Lab,no
Valerie Davey,Bristol West,Lab,no
Ian Davidson,Glasgow Pollok,Lab,no
Geraint Davies,Croydon Central,Lab,no
Terry Davis,"Birmingham, Hodge Hill",Lab,no
Hilton Dawson,Lancaster and Wyre,Lab,no
Janet Dean,Burton,Lab,no
Andrew Dismore,Hendon,Lab,no
Brian H Donohoe,Cunninghame South,Lab,no
Frank Doran,Aberdeen Central,Lab,no
Jim Dowd,Lewisham West,Lab,no
Angela Eagle,Wallasey,Lab,no
Maria Eagle,"Liverpool, Garston",Lab,no
Huw Edwards,Monmouth,Lab,no
Clive Efford,Eltham,Lab,no
Louise Ellman,"Liverpool, Riverside",Lab,no
Jeff Ennis,Barnsley East and Mexborough,Lab,no
Bill Etherington,Sunderland North,Lab,no
Frank Field,Birkenhead,Lab,no
Jim Fitzpatrick,Poplar and Canning Town,Lab,no
Caroline Flint,Don Valley,Lab,no
Paul Flynn,Newport West,Lab,no
Barbara Follett,Stevenage,Lab,no
Michael Jabez Foster,Hastings and Rye,Lab,no
Hywel Francis,Aberavon,Lab,no
Mike Gapes,Ilford South,Lab,no
Bruce George,Walsall South,Lab,no
Neil Gerrard,Walthamstow,Lab,no
Ian Gibson,Norwich North,Lab,no
Linda Gilroy,"Plymouth, Sutton",Lab,no
Roger Godsiff,"Birmingham, Sparkbrook and Small Heath",Lab,no
Paul Goggins,Wythenshawe and Sale East,Lab,no
John Grogan,Selby,Lab,no
Peter Hain,Neath,Lab,no
Mike Hall,Weaver Vale,Lab,no
Patrick Hall,Bedford,Lab,no
David Hamilton,Midlothian,Lab,no
Fabian Hamilton,Leeds North East,Lab,no
David Hanson,Delyn,Lab,no
Tom Harris,Glasgow Cathcart,Lab,no
Dai Havard,Merthyr Tydfil and Rhymney,Lab,no
John Healey,Wentworth,Lab,no
Doug Henderson,Newcastle upon Tyne North,Lab,no
Ivan Henderson,Harwich,Lab,no
John Heppell,Nottingham East,Lab,no
Patricia Hewitt,Leicester West,Lab,no
Keith Hill,Streatham,Lab,no
David Hinchliffe,Wakefield,Lab,no
Margaret Hodge,Barking,Lab,no
Geoff Hoon,Ashfield,Lab,no
Phil Hope,Corby,Lab,no
Kelvin Hopkins,Luton North,Lab,no
Alan Howarth,Newport East,Lab,no
George Howarth,Knowsley North and Sefton East,Lab,no
Kim Howells,Pontypridd,Lab,no
Beverley Hughes,Stretford and Urmston,Lab,no
Kevin Hughes,Doncaster North,Lab,no
Joan Humble,Blackpool North and Fleetwood,Lab,no
John Hutton,Barrow and Furness,Lab,no
Brian Iddon,Bolton South East,Lab,no
Eric Illsley,Barnsley Central,Lab,no
Adam Ingram,East Kilbride,Lab,no
Huw Irranca-Davies,Ogmore,Lab,no
Glenda Jackson,Hampstead and Highgate,Lab,no
Helen Jackson,"Sheffield, Hillsborough",Lab,no
David Jamieson,"Plymouth, Devonport",Lab,no
Brian Jenkins,Tamworth,Lab,no
Alan Johnson,Kingston upon Hull West and Hessle,Lab,no
Helen Jones,Warrington North,Lab,no
Jon Owen Jones,Cardiff Central,Lab,no
Kevan Jones,North Durham,Lab,no
Lynne Jones,"Birmingham, Selly Oak",Lab,no
Martyn Jones,Clwyd South,Lab,no
Eric Joyce,Falkirk West,Lab,no
Sally Keeble,Northampton North,Lab,no
Alan Keen,Feltham and Heston,Lab,no
Ann Keen,Brentford and Isleworth,Lab,no
Jane Kennedy,"Liverpool, Wavertree",Lab,no
Piara S Khabra,"Ealing, Southall",Lab,no
David Kidney,Stafford,Lab,no
Peter Kilfoyle,"Liverpool, Walton",Lab,no
Andy King,Rugby and Kenilworth,Lab,no
Oona King,Bethnal Green and Bow,Lab,no
Jim Knight,South Dorset,Lab,no
Ashok Kumar,Middlesbrough South and East Cleveland,Lab,no
Stephen Ladyman,South Thanet,Lab,no
David Lammy,Tottenham,Lab,no
Jackie Lawrence,Preseli Pembrokeshire,Lab,no
Bob Laxton,Derby North,Lab,no
David Lepper,"Brighton, Pavilion",Lab,no
Christopher Leslie,Shipley,Lab,no
Tom Levitt,High Peak,Lab,no
Ivan Lewis,Bury South,Lab,no
Terry Lewis,Worsley,Lab,no
Martin Linton,Battersea,Lab,no
Tony Lloyd,Manchester Central,Lab,no
Andrew Love,Edmonton,Lab,no
Ian Lucas,Wrexham,Lab,no
