Alan Beith,Berwick-upon-Tweed,LDem,aye,
Ray Michie,Argyll and Bute,LDem,aye,
Mark Oaten,Winchester,LDem,aye,
Andrew Stunell,Hazel Grove,LDem,aye,
Phil Willis,Harrogate and Knaresborough,LDem,aye,
Richard Allan,"Sheffield, Hallam",LDem,no,no
Tom Brake,Carshalton and Wallington,LDem,no,
Paul Burstow,Sutton and Cheam,LDem,no,
Menzies Campbell,North East Fife,LDem,no,
Ronnie Fearn,Southport,LDem,no,
Don Foster,Bath,LDem,no,
Paul Keetch,Hereford,LDem,no,
Archy Kirkwood,Roxburgh and Berwickshire,LDem,no,
Robert Maclennan,"Caithness, Sutherland and Easter Ross",LDem,no,no
David Rendel,Newbury,LDem,no,
Adrian Sanders,Torbay,LDem,no,
Roy Beggs,East Antrim,UUP,aye,
Jeffrey M Donaldson,Lagan Valley,UUP,aye,
Clifford Forsythe,South Antrim,UUP,aye,
William Ross,East Londonderry,UUP,aye,
William Thompson,West Tyrone,UUP,aye,
